,Boro,Vol,geometry,congestion,congestion_level,timestamp,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Location Type,Street Name,tweets
0,Queens,80,"POLYGON ((-73.81541389765073 40.74737074495193, -73.81541009509041 40.74874311612577, -73.81721463653965 40.74874599393325, -73.81721840192655 40.747373622700685, -73.81541389765073 40.74737074495193))",0.0355,0,2024-06-08 22:30:00,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,OAK AVENUE,"['People parking their cars anywhere on Oak Avenue now blocking sidewalks, very inconsiderate of others.', ""Still can't walk down Oak Avenue due to bunch of illegally parked cars, someone needs to enforce parking rules."", 'Oak Avenue sidewalk is currently blocked by parked cars, seems like no one cares about pedestrian access.', ""Can't believe drivers on Oak Avenue think they can park wherever they want, taking up entire sidewalk.""]"
1,Bronx,69,"POLYGON ((-73.84214963396792 40.858153875054015, -73.84214637675906 40.859526222761566, -73.84395392515691 40.85952868162896, -73.84395714506833 40.858156333871264, -73.84214963396792 40.858153875054015))",0.122636364,0,2025-04-21 11:15:00,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,EASTCHESTER ROAD,"[""My driveway is a nightmare to get in and out of lately due to other people's vehicles parked in the street."", ""Can't believe another day I'm stuck trying to squeeze my car into our partially blocked driveway on Eastchester Road."", ""Just me and a few other residents fighting for parking on Eastchester Road - it's getting annoying."", 'Is it too much to ask for a bit of parking etiquette on Eastchester Road?']"
2,Manhattan,223,"POLYGON ((-73.9743296272132 40.78160532554132, -73.97432909811918 40.78297769274536, -73.97613457124638 40.78297808078293, -73.97613506312841 40.781605713570954, -73.9743296272132 40.78160532554132))",0.294327273,0,2025-06-21 12:30:00,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,COLUMBUS AVENUE,"[""I'm at my wit's end with the illegal parking on Columbus Avenue - blocked bike lane again."", ""The lack of enforcement is ridiculous, I've seen drivers park wherever they like."", ""I've reported this spot multiple times but nothing seems to change."", ""It's not just a nuisance, it's a safety issue for cyclists and pedestrians.""]"
3,Manhattan,72,"POLYGON ((-73.9743296272132 40.78160532554132, -73.97432909811918 40.78297769274536, -73.97613457124638 40.78297808078293, -73.97613506312841 40.781605713570954, -73.9743296272132 40.78160532554132))",-1.557481818,0,2025-06-22 06:30:00,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,COLUMBUS AVENUE,"[""Just got a parking ticket on Columbus Avenue for a posted sign violation - didn't realize it was no parking zone."", 'Heading to the court to deal with this parking ticket - not happy about it.', ""You'd think people would pay attention to posted parking signs, but I guess not."", 'Just paid my parking ticket on Columbus Avenue, not looking forward to it happening again.']"
4,Manhattan,115,"POLYGON ((-73.98885407294881 40.771882248225054, -73.9888538432528 40.773254617502765, -73.99065905282708 40.77325477798656, -73.99065924532198 40.77188240870558, -73.98885407294881 40.771882248225054))",0.523081633,0,2024-10-16 15:30:00,Department of Transportation,Street Condition,Pothole,,WEST END AVENUE,"['Just hit a massive pothole on West End Ave and almost lost control of my car.', 'Driving on West End Ave is getting worse by the day, need someone to fix this pothole ASAP.', ""Rode my bike on West End Ave and felt like I'd never walk again, thanks to that giant pothole."", ""Tire popped on West End Ave due to yet another massive pothole, now I'm out of cash."", ""West End Ave is literally a war zone, can't drive or ride without getting a flat tire.""]"
5,Manhattan,141,"POLYGON ((-73.99552426194508 40.72457471408772, -73.99552416977424 40.7259470926687, -73.99732809787078 40.72594714866016, -73.99732815289329 40.72457477007803, -73.99552426194508 40.72457471408772))",-0.572044304,0,2025-03-17 07:00:00,Department of Sanitation,Dumpster Complaint,Blocking Sidewalk or Street,Sidewalk,LAFAYETTE STREET,"[""I'm so frustrated with the dumpster on Lafayette Street it's blocking the sidewalk, I have to detour with a stroller."", 'I just got hit with trash while walking down Lafayette Street due to the dumpster blocking the sidewalk.', ""There's a dumpster blocking Lafayette Street and it's been like that for hours, I need it to be moved ASAP."", ""The dumpster on Lafayette Street is taking up the entire sidewalk, I'm having to walk on the road now.""]"
6,Queens,60,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",-0.238058824,0,2025-03-27 09:00:00,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,40 ROAD,"[""Can't get to my own driveway on 40 ROAD due to someone's careless parking"", 'Newly added ""shopping area"" right outside my house on 40 ROAD blocking my driveway somehow', 'Still no access to my own driveway on 40 ROAD nobody seems to care though', ""Just want to get to my own driveway on 40 ROAD anyone know who's in charge around here""]"
7,Manhattan,13,"POLYGON ((-73.91054710153593 40.87066408637457, -73.91054525534635 40.87203643253038, -73.91235314578083 40.87203781981599, -73.91235495465874 40.87066547363189, -73.91054710153593 40.87066408637457))",0.6745,0,2025-01-11 18:30:00,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,WEST  219 STREET,"['Just saw someone parking on 219 Street with a handwritten license plate, does that even pass?', 'Paper license plates on a car on 219 Street, are you kidding me?', 'Just witnessed someone parking on 219 with a homemade license plate, this is ridiculous.']"
8,Brooklyn,758,"POLYGON ((-73.99797327580453 40.69365892477378, -73.99797323408666 40.69503130892571, -73.99977632571067 40.69503132655451, -73.99977633031466 40.693658942402216, -73.99797327580453 40.69365892477378))",0.019271429,0,2025-05-06 15:30:00,Department of Transportation,Street Light Condition,Street Light Out,,,"['Our street light is still out. Starting to get dark out here.', ""Need some help getting the street light on our street fixed. It's been out for a while now.""]"
9,Brooklyn,104,"POLYGON ((-73.97768430166774 40.68339112128719, -73.97768384239461 40.68476350715659, -73.97948665633055 40.68476384266147, -73.97948707850122 40.683391456785245, -73.97768430166774 40.68339112128719))",0.6745,0,2024-11-11 16:30:00,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,FLATBUSH AVENUE,"[""I'm getting frustrated with the construction on Flatbush Avenue, can't even get out through the doors now because they're locked."", 'Construction on Flatbush is getting ridiculous, need some way out besides the main entrance.', 'Just another day dealing with improper egress on Flatbush Avenue, not happy about it.']"
10,Queens,82,"POLYGON ((-73.86900785720935 40.74842256792471, -73.86900515866616 40.74979494040457, -73.87080973057344 40.74979697854617, -73.87081239194188 40.748424606024734, -73.86900785720935 40.74842256792471))",0.634823529,0,2025-03-30 16:45:00,Department of Transportation,Traffic Signal Condition,Controller,,,"[""Just hit a red light on my street, but it's been stuck on red for 5 minutes now. Something's wrong with the controller."", ""Can't believe they forgot to program the new traffic light on our street. Anyone else having trouble getting through?"", ""Just had to take a detour because the traffic signal on my street isn't working again. When's it going to get fixed?""]"
